dataset,scorer,scope,mode,num_queries,optq_viol,optq_adm,optq_unknown,optq_pres,optq_shift,optq_adm_count,afq_adm,afq_pres,hardval_adm,hardval_pres,mean_lambda,median_lambda
EurostatKG,PairRE-main,full_feasible,head,6434,0.4458404877856231,0.5530307740130556,0.0012900217594031707,0.64914516630401,208.72667081131488,5.5303077401305565,0.5530307740130556,0.64914516630401,0.9983369599005285,0.20376126826235624,0.10302621030987213,0.0775651931762695
EurostatKG,PairRE-main,full_feasible,tail,3651,0.44445281353662613,0.5554368666118872,0.00019172829361818682,0.6675979183785263,91.4070391673514,5.554368666118871,0.5554368666118872,0.6675979183785263,0.9690769652150096,0.22350041084634348,0.07272422127578719,0.0201281905174255
EurostatKG,PairRE-main,blind_strict_feasible,head,5855,0.48992958128312525,0.5094107600341589,0.0008368915456874467,0.6145858240819813,229.36614859094792,5.094107600341588,0.5094107600341589,0.6145858240819813,0.9988898377455167,0.12502134927412467,0.11314237489596476,0.1128702163696289
EurostatKG,PairRE-main,blind_strict_feasible,tail,3275,0.49548006785411364,0.5043969465648855,0.00021374045801526718,0.6294351145038168,101.90140458015269,5.043969465648855,0.5043969465648855,0.6294351145038168,0.9655267175572518,0.13435114503816795,0.08107362805432032,0.0253708362579345
DBpedia,ComplEx-main,full_feasible,head,16159,0.2931672064415427,0.6981929574849929,0.014493471130639273,0.7989541432019308,35.744668605730546,6.981929574849929,0.6981929574849929,0.7989541432019308,0.8379231388080945,0.5224333188934959,2.6966544169365707,0.5191535949707031
DBpedia,ComplEx-main,full_feasible,tail,16277,0.4132959302784824,0.5747619340173251,0.02013270258647171,0.6860723720587333,107.89655956257295,5.747619340173251,0.5747619340173251,0.6860723720587333,0.697825152055047,0.30035633101922954,4.702611628684334,2.862232208251953
DBpedia,ComplEx-main,blind_strict_feasible,head,9917,0.4776937469888968,0.5082282948472321,0.023616012907129173,0.672411011394575,58.243228799031954,5.08228294847232,0.5082282948472321,0.672411011394575,0.7359080367046485,0.22184128264596148,4.39399402271635,2.280010223388672
DBpedia,ComplEx-main,blind_strict_feasible,tail,13970,0.48154744861437776,0.5045382963493199,0.023457408732999282,0.6342304939155333,125.71455261274157,5.0453829634932,0.5045382963493199,0.6342304939155333,0.6479241231209735,0.18481746599856838,5.479198960636715,4.124081611633301
DrugBank,RotatE-main,full_feasible,head,292926,0.48739237896260484,0.5126076210373951,0.0,0.5126124004014666,551.1551074332766,5.1260762103739514,0.5126076210373951,0.5126124004014666,0.9999395751828106,0.025280446256051015,4.030390531427166,4.031420707702637
DrugBank,RotatE-main,full_feasible,tail,292976,0.48863285729889144,0.5113671427011086,0.0,0.5114633963191524,300.089385478674,5.113671427011086,0.5113671427011086,0.5114633963191524,1.0,0.02283053902026105,1.8610072480350364,1.9419269561767576
DrugBank,RotatE-main,blind_strict_feasible,head,285544,0.4999926456167876,0.5000073543832124,0.0,0.500012257305354,565.4037941613201,5.000073543832124,0.5000073543832124,0.500012257305354,0.9999380130557812,8.159863278513996e-05,4.134585831986783,4.056548118591309
DrugBank,RotatE-main,blind_strict_feasible,tail,286328,0.4999779972618815,0.5000220027381185,0.0,0.5001204911849347,307.0568990807745,5.000220027381185,0.5000220027381185,0.5001204911849347,1.0,0.00014249392305328153,1.9042163515280126,1.953012466430664
