dataset,scope,optq_success,optq_viol,optq_adm,optq_pres,optq_shift,optq_lambda_p50,best_safe_lambda,best_safe_success,best_safe_viol,best_safe_adm,best_safe_pres,best_safe_shift,nearest_pres_lambda,nearest_pres_success,nearest_pres_adm,nearest_pres_pres,nearest_pres_shift,nearest_adm_lambda,nearest_adm_success,nearest_adm_adm,nearest_adm_pres,nearest_adm_shift
EurostatKG,blind_strict,1.0,0.4919205827639558,0.5076122672508221,0.619912376779854,183.64358159912285,0.0581769347190856,3,1.0,0.0,1.0,0.1275246440306686,614.5589266155495,0p1,0.5870755750273823,0.5602847754654859,0.5672398685651742,129.42288061336356,0p1,0.5870755750273823,0.5602847754654859,0.5672398685651742,129.42288061336356
EurostatKG,full,1.0,0.4453381180599818,0.5539018344075374,0.6558254833911812,166.25428854734668,0.0450421571731567,3,1.0,0.0,1.0,0.2097273177987087,556.368319286065,0p1,0.625979176995538,0.6016460089241332,0.6080813088745699,117.1689737233524,0p1,0.625979176995538,0.6016460089241332,0.6080813088745699,117.1689737233524
DBpedia,blind_strict,1.0,0.4799475340575322,0.5060702474149175,0.6500816343618251,97.70295139615692,3.0892562866210938,100,1.0,0.0088229401527429,0.9905262276552098,0.1656256541214774,290.097119772259,3,0.4893038054171725,0.4517603717503316,0.704391510026331,13.88069661322037,3,0.4893038054171725,0.4517603717503316,0.704391510026331,13.88069661322037
DBpedia,full,1.0,0.3534500784940274,0.6362529288444947,0.7423079294610934,71.95185596251082,1.5871152877807615,100,1.0,0.0064975203918045,0.9930231841164134,0.3855376741891956,213.63762177826956,3,0.6239055370575903,0.5962572450363871,0.7823036132692145,10.222228388210477,3,0.6239055370575903,0.5962572450363871,0.7823036132692145,10.222228388210477
DrugBank,blind_strict,1.0,0.4999853113983551,0.5000146886016449,0.5000664484360149,436.0532580718335,2.5688371658325195,30,1.0,3.0950982037938565e-05,0.9999690490179616,0.0001120880196967,934.5996252657924,3,0.5344115466398075,0.5385308250797619,0.4615503119577784,367.78456297917006,3,0.5344115466398075,0.5385308250797619,0.4615503119577784,367.78456297917006
DrugBank,full,1.0,0.4880126710610309,0.5119873289389689,0.5120378493331662,425.61153366954807,2.5011043548583984,30,1.0,3.020983031291923e-05,0.9999697901696868,0.0240553881024472,912.2197174612804,3,0.5455605203600602,0.5495811586237908,0.4744440196482246,358.9775996668793,3,0.5455605203600602,0.5495811586237908,0.4744440196482246,358.9775996668793
