dataset,scorer,selector,alpha,quota_success,viol_at_k,adm_at_k,pres_at_k,shift_at_k,hit10,mrr10,num_queries
DBpedia,ComplEx-main,Base,,0.0777988614800759,0.85562865497076,0.1410526315789473,1.0,0.0,0.0,0.0,570
DBpedia,ComplEx-main,Learned nearest OptQ-Pres,0.1,0.7248576850094877,0.3831669451406281,0.6099999999999995,0.5310526315789478,17.058947368421048,0.0,0.0,570
DBpedia,ComplEx-main,OptQ,,1.0,0.5177589807852976,0.4682456140350878,0.6728070175438599,86.97631578947379,0.0,0.0,570
DBpedia,ComplEx-main,Learned quota-safe,0.3,1.0,0.0669298245614035,0.931228070175439,0.2098245614035087,289.58473684210526,0.0,0.0,570
DrugBank,ComplEx,Base,,0.2744195356285028,0.6653522818254576,0.3346477181745479,1.0,0.0,0.0001000800640512,5.004003202562049e-05,9992
DrugBank,ComplEx,Learned nearest OptQ-Pres,0.03,0.8340672538030425,0.3622197758206568,0.6377802241793408,0.6968674939952093,3.781234987990307,0.0001000800640512,0.0001000800640512,9992
DrugBank,ComplEx,OptQ,,1.0,0.4891513210568449,0.5108486789431558,0.8237990392313689,2.090772618094449,0.0001000800640512,5.004003202562049e-05,9992
DrugBank,ComplEx,Learned quota-safe,0.1,0.9996997598078464,0.0358386709367498,0.9641613290632052,0.3704863891113017,9.464871897518435,0.0003002401921537,0.0001200960768614,9992
DrugBank,PairRE,Base,,0.5078249036062599,0.5081424359265082,0.4918575640734915,1.0,0.0,0.0004536176003628,9.558370864789551e-05,8818
DrugBank,PairRE,Learned nearest OptQ-Pres,0.0,0.5078249036062599,0.5081424359265082,0.4918575640734915,1.0,0.0,0.0004536176003628,9.558370864789551e-05,8818
DrugBank,PairRE,OptQ,,1.0,0.3987185302789732,0.601281469721028,0.8905760943524438,3.5309480607847266,0.0005670220004536,0.0001069241486569,8818
DrugBank,PairRE,Learned quota-safe,0.3,1.0,1.1340440009072351e-05,0.9999886595599908,0.4918689045135006,12.705590836924394,0.0015876616012701,0.0003194223935888,8818
DrugBank,RotatE-main,Base,,0.0,0.999858457183298,0.000141542816702,1.0,0.0,0.0,0.0,9891
DrugBank,RotatE-main,Learned nearest OptQ-Pres,0.1,0.2124153270650086,0.772399150743091,0.2276008492569064,0.772540693559793,95.95222929936352,0.0014154281670205,0.0003269767449324,9891
DrugBank,RotatE-main,OptQ,,1.0,0.5,0.5,0.500141542816702,397.295157213642,0.0016176321908805,0.0003494438586946,9891
DrugBank,RotatE-main,Learned quota-safe,1.0,1.0,5.055100596501871e-05,0.9999494489940348,0.000192093822667,851.81081791525,0.0037407744414113,0.0010018326745654,9891
EurostatKG,ComplEx,Base,,0.0313351498637602,0.9356948228882824,0.0643051771117167,1.0,0.0,0.0,0.0,734
EurostatKG,ComplEx,Learned nearest OptQ-Pres,0.1,0.7465940054495913,0.3202997275204353,0.6797002724795635,0.3846049046321519,149.7085831062669,0.0081743869209809,0.0029140175597941,734
EurostatKG,ComplEx,OptQ,,1.0,0.4989100817438692,0.5010899182561308,0.5632152588555862,190.2039509536786,0.0081743869209809,0.0028231910384498,734
EurostatKG,ComplEx,Learned quota-safe,0.3,1.0,0.0,1.0,0.0643051771117167,697.289509536785,0.0136239782016348,0.0041212534059945,734
EurostatKG,PairRE-main,Base,,0.0299727520435967,0.9276566757493184,0.0723433242506812,1.0,0.0,0.0,0.0,734
EurostatKG,PairRE-main,Learned nearest OptQ-Pres,0.1,0.7111716621253406,0.383651226158038,0.6163487738419602,0.4559945504087196,114.65558583106292,0.0040871934604904,0.0007622940184248,734
EurostatKG,PairRE-main,OptQ,,1.0,0.496866485013624,0.5031335149863759,0.5692098092643059,173.61702997275205,0.0068119891008174,0.0018295056442195,734
EurostatKG,PairRE-main,Learned quota-safe,1.0,1.0,0.0,1.0,0.0723433242506812,621.5188010899178,0.0136239782016348,0.0043558885861338,734
